รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
57030000,สพป.เชียงราย เขต 3,57030001,อนุบาลจอมสวรรค์(บ้านบ่อก๊าง),0,0,0,0,8,5,13,1,1,4,5,1,9,9,18,2,15,5,20,1,15,9,24,1,11,11,22,1,11,8,19,1,8,9,17,1,8,9,17,1,68,51,119,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,60,137,8
57030000,สพป.เชียงราย เขต 3,57030002,บ้านขี้เหล็กดอยดินแดง,2,2,4,1,2,3,5,1,4,4,8,1,8,9,17,3,11,3,14,1,9,4,13,1,1,3,4,1,7,1,8,1,7,3,10,1,5,1,6,1,40,15,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,24,72,9
57030000,สพป.เชียงราย เขต 3,57030003,บ้านห้วยน้ำราก(ไตรราษฎร์บำรุง),5,4,9,1,3,9,12,1,7,6,13,1,15,19,34,3,20,4,24,1,6,9,15,1,6,7,13,1,10,10,20,1,10,8,18,1,7,13,20,1,59,51,110,6,6,3,9,1,7,6,13,1,6,0,6,1,19,9,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,79,172,12
57030000,สพป.เชียงราย เขต 3,57030006,ไทยรัฐวิทยา ๘๖ (บ้านป่าสักหลวง),0,0,0,0,0,0,0,0,1,4,5,1,1,4,5,1,5,6,11,1,6,6,12,1,8,8,16,1,5,5,10,1,8,7,15,1,9,9,18,1,41,41,82,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,87,7
57030000,สพป.เชียงราย เขต 3,57030008,บ้านแม่คำฝั่งหมิ่น,0,0,0,0,1,1,2,1,1,0,1,1,2,1,3,2,6,0,6,1,2,2,4,1,0,0,0,0,1,2,3,1,2,0,2,1,1,1,2,1,12,5,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,20,7
57030000,สพป.เชียงราย เขต 3,57030009,บ้านป่าบง(หล้าราษฎร์วิทยา),0,0,0,0,1,0,1,1,3,1,4,1,4,1,5,2,2,0,2,1,2,3,5,1,2,2,4,1,2,5,7,1,2,3,5,1,0,4,4,1,10,17,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,32,8
57030000,สพป.เชียงราย เขต 3,57030010,บ้านกิ่วพร้าว,3,2,5,1,2,1,3,1,4,3,7,1,9,6,15,3,3,4,7,1,2,4,6,1,4,7,11,1,5,4,9,1,9,3,12,1,2,4,6,1,25,26,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,66,9
57030000,สพป.เชียงราย เขต 3,57030011,บ้านท่าข้าวเปลือก,0,0,0,0,5,7,12,1,0,7,7,1,5,14,19,2,5,6,11,1,5,1,6,1,8,6,14,1,9,4,13,1,8,7,15,1,4,5,9,1,39,29,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,43,87,8
57030000,สพป.เชียงราย เขต 3,57030012,บ้านทับกุมารทอง,0,0,0,0,6,4,10,1,3,6,9,1,9,10,19,2,3,3,6,1,4,7,11,1,4,5,9,1,5,2,7,1,3,6,9,1,5,8,13,1,24,31,55,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,41,74,8
57030000,สพป.เชียงราย เขต 3,57030013,ผ่านศึกสงเคราะห์ ๒,0,0,0,0,2,4,6,1,2,3,5,1,4,7,11,2,3,5,8,1,7,6,13,1,3,3,6,1,0,4,4,1,4,9,13,1,6,1,7,1,23,28,51,6,9,4,13,1,8,9,17,1,9,0,9,1,26,13,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,48,101,11
